gender,age,academic_background,race,academic_interests,professional_interests,previous_work_experience,would_apply,rationale,auto_fixed,profile_text,overlap_tokens,overlap_count,program_refs_in_rationale,rationale_sentiment
Male,25,Biochemistry,Black,"Molecular Biology, Drug Discovery","Biochemist, Researcher",Yes,no,"While my professional interests align more closely with Biochemistry, the analytics focus of MS in Analytics at Saint Louis University does not match my academic background and career aspirations.",No,"Biochemistry. Molecular Biology, Drug Discovery. Biochemist, Researcher. gender:Male. age:25. work:Yes.",['biochemistry'],1,11,0.19999999999999998
Female,30,Public Policy,Asian,"Health Policy, Economics","Analyst, Policy Expert",Yes,yes,"I think the MS in Analytics at Saint Louis University aligns well with my professional interests and previous work experience, offering a specialized focus on organizational problem-solving.",No,"Public Policy. Health Policy, Economics. Analyst, Policy Expert. gender:Female. age:30. work:Yes.",['work'],1,13,-0.033333333333333326
Male,22,Anthropology,White,"Cultural Studies, Archaeology","Anthropologist, Field Researcher",No,no,"While my academic background aligns well with cultural studies and archaeology, the analytics focus of MS in Analytics at Saint Louis University does not match my professional interests as an anthropologist.",No,"Anthropology. Cultural Studies, Archaeology. Anthropologist, Field Researcher. gender:Male. age:22. work:No.","['anthropologist', 'archaeology', 'cultural', 'studies']",4,11,0.06666666666666667
Female,27,Aerospace Engineering,Hispanic,"Space Systems, Aerodynamics","Aerospace Engineer, Pilot",Yes,no,"While my interests align closely with aerospace, the MS in Analytics at Saint Louis University seems more suited to careers focused on data-driven decision making within organizations.",No,"Aerospace Engineering. Space Systems, Aerodynamics. Aerospace Engineer, Pilot. gender:Female. age:27. work:Yes.",['aerospace'],1,10,0.5
Male,34,Journalism,Black,"Investigative Reporting, Digital Media","Journalist, Reporter",Yes,no,"While my professional interests align well as a journalist and reporter, the focus on analytics seems misaligned with my journalism background.",No,"Journalism. Investigative Reporting, Digital Media. Journalist, Reporter. gender:Male. age:34. work:Yes.","['journalism', 'journalist', 'reporter']",3,5,0.1
Female,26,Statistics,Native American,"Big Data, Predictive Modeling","Statistician, Analyst",No,yes,"It feels right for me as my academic background aligns well, and I'm eager to work in data analytics within a diverse environment.",No,"Statistics. Big Data, Predictive Modeling. Statistician, Analyst. gender:Female. age:26. work:No.","['data', 'work']",2,7,0.14285714285714285
Male,31,Fine Arts,Mixed,"Painting, Sculpture","Artist, Gallery Owner",Yes,no,"While the MS in Analytics is a robust program, my background and interests are deeply rooted in Fine Arts rather than analytics.",No,"Fine Arts. Painting, Sculpture. Artist, Gallery Owner. gender:Male. age:31. work:Yes.","['arts', 'fine']",2,9,0.20833333333333334
Female,23,Information Technology,Asian,"Cybersecurity, Cloud Computing","IT Specialist, Security Expert",Yes,no,"While my professional interests align more closely with IT, the MS in Analytics focuses on analytics projects that don't directly connect to cybersecurity or cloud computing.",No,"Information Technology. Cybersecurity, Cloud Computing. IT Specialist, Security Expert. gender:Female. age:23. work:Yes.","['cloud', 'computing', 'cybersecurity', 'it']",4,8,0.2333333333333333
Male,29,Geology,White,"Earth Sciences, Mineralogy","Geologist, Explorer",No,no,"Although the MS in Analytics at Saint Louis University offers valuable skills, my background and interests align more closely with Earth Sciences.",No,"Geology. Earth Sciences, Mineralogy. Geologist, Explorer. gender:Male. age:29. work:No.","['earth', 'sciences']",2,10,0.3
Female,25,Linguistics,Hispanic,"NLP, Language Acquisition","Linguist, Translator",Yes,no,"While the MS in Analytics is a valuable field, my background and interests are more aligned towards linguistics rather than analytics.",No,"Linguistics. NLP, Language Acquisition. Linguist, Translator. gender:Female. age:25. work:Yes.",['linguistics'],1,7,0.5
Male,32,Philosophy,Black,"Ethics, Metaphysics","Philosopher, Ethicist",Yes,no,While my professional interests align more closely with philosophy rather than analytics.,No,"Philosophy. Ethics, Metaphysics. Philosopher, Ethicist. gender:Male. age:32. work:Yes.",['philosophy'],1,2,0.3
Female,28,Nutrition,Pacific Islander,"Dietetics, Sports Nutrition","Nutritionist, Dietician",No,no,"While my academic background in nutrition aligns well with the field of dietetics, I believe that an MS in Analytics would not directly enhance my expertise or career opportunities as a Nutritionist.",No,"Nutrition. Dietetics, Sports Nutrition. Nutritionist, Dietician. gender:Female. age:28. work:No.","['dietetics', 'nutrition', 'nutritionist']",3,7,-0.025
Male,24,Architecture,Asian,"Sustainable Design, Urban Architecture","Architect, Designer",Yes,no,"While my interests align more closely with architecture, the analytics focus of MS in Analytics does not complement my career goals as an architect and designer.",No,"Architecture. Sustainable Design, Urban Architecture. Architect, Designer. gender:Male. age:24. work:Yes.","['architect', 'architecture', 'designer']",3,7,0.5
Female,30,Finance,White,"Investments, Risk Management","Financier, Investor",Yes,yes,"I think the focus on analytics projects aligns well with my professional interests, and I'm eager to expand my skill set in data communication.",No,"Finance. Investments, Risk Management. Financier, Investor. gender:Female. age:30. work:Yes.",[],0,9,0.1
Male,27,Music,Hispanic,"Composition, Performance","Musician, Composer",No,no,"While I'm passionate about music and analytics, my academic background is more aligned with composition and performance rather than data analysis.",No,"Music. Composition, Performance. Musician, Composer. gender:Male. age:27. work:No.","['composition', 'music', 'performance']",3,5,0.15
Female,33,Materials Science,Black,"Nanomaterials, Biomaterials","Materials Scientist, Innovator",Yes,no,"While the analytics skills are valuable and I value diversity, my interests align more closely with nanomaterials and biomaterials.",No,"Materials Science. Nanomaterials, Biomaterials. Materials Scientist, Innovator. gender:Female. age:33. work:Yes.","['biomaterials', 'nanomaterials']",2,5,0.5
Male,26,Theater,Native American,"Acting, Directing","Actor, Director",Yes,no,"While my professional interests align closely with acting and directing, the analytics focus of MS in Analytics does not complement these passions.",No,"Theater. Acting, Directing. Actor, Director. gender:Male. age:26. work:Yes.","['acting', 'directing']",2,7,0.05
Female,34,Human Resources,Mixed,"Organizational Behavior, Leadership","HR Manager, Recruiter",No,no,"While my professional interests align closely with HR and recruiting, the MS in Analytics at Saint Louis University seems more focused on data-driven decision making rather than human resources practices.",No,"Human Resources. Organizational Behavior, Leadership. HR Manager, Recruiter. gender:Female. age:34. work:No.","['hr', 'human', 'resources']",3,10,0.19999999999999998
Male,21,Oceanography,Asian,"Marine Biology, Ocean Climate","Oceanographer, Marine Scientist",Yes,no,"While my interest in oceanography aligns well, the analytics focus does not match my professional interests and background.",No,"Oceanography. Marine Biology, Ocean Climate. Oceanographer, Marine Scientist. gender:Male. age:21. work:Yes.",['oceanography'],1,4,0.1
Female,36,International Studies,White,"Global Affairs, Diplomacy","International Specialist, NGO Worker",Yes,no,My interests align more closely with global affairs and diplomacy rather than analytics.,No,"International Studies. Global Affairs, Diplomacy. International Specialist, NGO Worker. gender:Female. age:36. work:Yes.","['affairs', 'diplomacy', 'global']",3,3,0.25
Male,25,Software Engineering,Hispanic,"App Development, UI/UX","Developer, App Designer",No,no,"While my academic background in Software Engineering aligns well, the MS in Analytics focuses on a skill set I already possess and am not seeking to develop further.",No,"Software Engineering. App Development, UI/UX. Developer, App Designer. gender:Male. age:25. work:No.","['engineering', 'software']",2,8,0.0
Female,29,Epidemiology,Black,"Infectious Diseases, Public Health","Epidemiologist, Health Researcher",Yes,no,"While my interests align well with public health and epidemiology, the analytics focus of MS in Analytics at Saint Louis University doesn't directly connect to my professional aspirations as an Epidemiologist.",No,"Epidemiology. Infectious Diseases, Public Health. Epidemiologist, Health Researcher. gender:Female. age:29. work:Yes.","['epidemiologist', 'epidemiology', 'health', 'public']",4,12,0.06666666666666667
Male,23,Gender Studies,Asian,"Feminism, Queer Theory","Activist, Advocate",Yes,no,"While my interests align more closely with activism and advocacy, the analytics focus of MS in Analytics at Saint Louis University doesn't seem to complement these passions.",No,"Gender Studies. Feminism, Queer Theory. Activist, Advocate. gender:Male. age:23. work:Yes.",[],0,12,0.5
Female,31,Robotics,White,"AI Robotics, Automation","Robotics Engineer, Automation Specialist",No,no,My background in robotics and interest align more closely with automation-focused roles.,No,"Robotics. AI Robotics, Automation. Robotics Engineer, Automation Specialist. gender:Female. age:31. work:No.",['robotics'],1,3,0.5
Male,28,Art History,Hispanic,"Indigenous Art, Modern Art","Curator, Art Historian",Yes,no,"While my interests align more closely with art history, the analytics focus of MS in Analytics doesn't match my career goals as a curator or art historian.",No,"Art History. Indigenous Art, Modern Art. Curator, Art Historian. gender:Male. age:28. work:Yes.","['art', 'curator', 'historian', 'history']",4,7,0.5
Female,35,Cybersecurity,Black,"Ethical Hacking, Network Security","Cyber Analyst, Security Consultant",Yes,no,"While my professional interests align closely with cybersecurity and ethical hacking, the MS in Analytics at Saint Louis University focuses more on solving organizational problems using statistical techniques rather than directly addressing security concerns.",No,"Cybersecurity. Ethical Hacking, Network Security. Cyber Analyst, Security Consultant. gender:Female. age:35. work:Yes.","['cybersecurity', 'ethical', 'hacking', 'security']",4,15,0.225
Male,24,Communications,Native American,"Public Relations, Media","PR Specialist, Media Coordinator",No,no,"Although the MS in Analytics is a prestigious and relevant field, my current academic background in Communications aligns more closely with public relations roles rather than analytics.",No,"Communications. Public Relations, Media. PR Specialist, Media Coordinator. gender:Male. age:24. work:No.","['communications', 'public', 'relations']",3,9,0.18
Female,30,Data Science,Mixed,"Big Data, Analytics","Data Engineer, Analyst",Yes,yes,"I think the MS in Analytics at Saint Louis University aligns well with my background and interests, offering a blend of technical skills and project-based learning.",No,"Data Science. Big Data, Analytics. Data Engineer, Analyst. gender:Female. age:30. work:Yes.",['analytics'],1,13,0.0
Male,32,Environmental Engineering,Asian,"Water Treatment, Sustainability","Environmental Engineer, Sustainability Expert",Yes,no,"While the MS in Analytics at SLU is appealing, my interests align more closely with water treatment and sustainability.",No,"Environmental Engineering. Water Treatment, Sustainability. Environmental Engineer, Sustainability Expert. gender:Male. age:32. work:Yes.","['sustainability', 'treatment', 'water']",3,7,0.5
Female,27,Criminology,White,"Criminal Justice, Forensics","Criminologist, Forensic Analyst",No,yes,I think my interest in analytics and solving complex problems aligns well with the MS in Analytics at SLU.,No,"Criminology. Criminal Justice, Forensics. Criminologist, Forensic Analyst. gender:Female. age:27. work:No.",[],0,11,-0.3
Male,29,Hospitality Management,Hispanic,"Tourism, Event Planning","Hotel Manager, Event Coordinator",Yes,yes,I think the online format and project-based learning align well with my professional interests in tourism and event planning.,No,"Hospitality Management. Tourism, Event Planning. Hotel Manager, Event Coordinator. gender:Male. age:29. work:Yes.","['event', 'planning', 'tourism']",3,6,0.1
Male,24,Journalism,Hispanic,"Digital Media, Audience Insights","Urban Data Analyst, Transportation Planner",Yes,yes,"It feels right for me as my professional interests align well with the analytics focus, and I'm eager to enhance my skills in audience insights.",No,"Journalism. Digital Media, Audience Insights. Urban Data Analyst, Transportation Planner. gender:Male. age:24. work:Yes.","['audience', 'insights']",2,6,0.19285714285714284
Non-binary,22,Linguistics,Pacific Islander,"Energy Systems, Sustainability","Energy Analyst, Reliability Engineer",Yes,yes,It feels right for me as my interests align and the online format suits my lifestyle.,No,"Linguistics. Energy Systems, Sustainability. Energy Analyst, Reliability Engineer. gender:Non-binary. age:22. work:Yes.",[],0,3,0.2857142857142857
Non-binary,34,Criminology,Mixed,"Computer Vision, Embedded AI","Robotics Engineer, Perception Engineer",Yes,yes,It feels right as it aligns closely with my professional interests and provides a flexible learning environment.,No,"Criminology. Computer Vision, Embedded AI. Robotics Engineer, Perception Engineer. gender:Non-binary. age:34. work:Yes.",[],0,4,0.19285714285714284
Female,24,Marketing,White,"Operations, Supply Chain Analytics","Marketing Analyst, Growth Strategist",No,yes,It feels right for me as my interests align and the online format suits my schedule.,No,"Marketing. Operations, Supply Chain Analytics. Marketing Analyst, Growth Strategist. gender:Female. age:24. work:No.",[],0,3,0.2857142857142857
Female,27,Anthropology,Mixed,"Policy Analysis, Impact Evaluation","Urban Data Analyst, Transportation Planner",Yes,yes,"It feels right for me as my interests align well, and the online format suits my work experience.",No,"Anthropology. Policy Analysis, Impact Evaluation. Urban Data Analyst, Transportation Planner. gender:Female. age:27. work:Yes.",['work'],1,3,0.2857142857142857
Male,30,Political Science,Asian,"Behavioral Economics, Decision Science","Media Analyst, Audience Insights Researcher",Yes,yes,"It feels right for my career in media analysis and audience insights, aligning well with the analytics focus of MS at Saint Louis University.",No,"Political Science. Behavioral Economics, Decision Science. Media Analyst, Audience Insights Researcher. gender:Male. age:30. work:Yes.","['audience', 'insights', 'media']",3,10,0.2857142857142857
Female,32,Human Resources,Middle Eastern,"Marketing Analytics, A/B Testing","People Analytics Specialist, HR Analyst",Yes,yes,I think the MS in Analytics at SLU aligns perfectly with my professional interests and offers a flexible online format that suits my work experience.,No,"Human Resources. Marketing Analytics, A/B Testing. People Analytics Specialist, HR Analyst. gender:Female. age:32. work:Yes.","['a', 'analytics', 'work']",3,10,0.4000000000000001
Non-binary,23,Information Systems,Asian,"Big Data, Predictive Modeling","Data Engineer, ETL Developer",Yes,yes,It feels right as my interests align and the online format suits my work experience.,No,"Information Systems. Big Data, Predictive Modeling. Data Engineer, ETL Developer. gender:Non-binary. age:23. work:Yes.",['work'],1,3,0.2857142857142857
Male,20,Public Health,White,"Quantum Computing, Simulation","Computational Scientist, Research Fellow",Yes,no,"While my professional interests align well with the MS in Analytics, I feel that a more direct path into computational science would better suit my career goals.",No,"Public Health. Quantum Computing, Simulation. Computational Scientist, Research Fellow. gender:Male. age:20. work:Yes.",['computational'],1,6,0.3
Non-binary,35,Urban Planning,Black,"Optimization, Operations Research","Operations Research Analyst, Optimization Engineer",No,yes,"I think the MS in Analytics at SLU aligns well with my interests and career goals, offering a flexible online format that suits me.",No,"Urban Planning. Optimization, Operations Research. Operations Research Analyst, Optimization Engineer. gender:Non-binary. age:35. work:No.",[],0,11,0.0
Non-binary,22,Statistics,Hispanic,"NLP, Information Retrieval","Machine Learning Engineer, Research Assistant",Yes,yes,I think the emphasis on analytics projects and project management aligns well with my professional interests.,No,"Statistics. NLP, Information Retrieval. Machine Learning Engineer, Research Assistant. gender:Non-binary. age:22. work:Yes.",[],0,7,0.1
Female,28,Epidemiology,Hispanic,"Neuroscience, Cognitive Modeling","Bioinformatics Analyst, Lab Researcher",No,no,"While my professional interests align more closely with bioinformatics, the MS in Analytics at Saint Louis University doesn't offer a specialization that combines analytics and neuroscience.",No,"Epidemiology. Neuroscience, Cognitive Modeling. Bioinformatics Analyst, Lab Researcher. gender:Female. age:28. work:No.","['bioinformatics', 'neuroscience']",2,12,0.3
Female,32,Anthropology,Black,"Digital Media, Audience Insights","Policy Analyst, Program Evaluator",Yes,yes,It feels right for me as my interests align and the online format suits my work experience.,No,"Anthropology. Digital Media, Audience Insights. Policy Analyst, Program Evaluator. gender:Female. age:32. work:Yes.",['work'],1,3,0.2857142857142857
Non-binary,31,Nutrition,White,"Public Health Analytics, Epidemiology","Bioinformatics Analyst, Lab Researcher",No,yes,It feels right to me given my academic background in Nutrition and interest in Public Health Analytics.,No,"Nutrition. Public Health Analytics, Epidemiology. Bioinformatics Analyst, Lab Researcher. gender:Non-binary. age:31. work:No.","['analytics', 'health', 'nutrition', 'public']",4,5,0.09523809523809523
Male,26,Economics,Mixed,"Energy Systems, Sustainability","IoT Engineer, Embedded Systems Developer",Yes,yes,"My background in economics and interest in sustainability align well with the analytics skills needed for energy systems, making me a good fit.",No,"Economics. Energy Systems, Sustainability. IoT Engineer, Embedded Systems Developer. gender:Male. age:26. work:Yes.","['economics', 'energy', 'sustainability', 'systems']",4,7,0.55
Male,39,Nursing,Pacific Islander,"Reliability Engineering, Quality","Operations Research Analyst, Optimization Engineer",Yes,yes,The focus on analytics for solving real-world problems aligns well with my professional interests and experience in healthcare.,No,"Nursing. Reliability Engineering, Quality. Operations Research Analyst, Optimization Engineer. gender:Male. age:39. work:Yes.",[],0,6,0.1
Female,34,Geology,Native American,"Genomics, Bioinformatics","Computational Scientist, Research Fellow",No,yes,"I think my interest in genomics and bioinformatics aligns well with the analytical focus of MS, especially since I have no prior work experience.",No,"Geology. Genomics, Bioinformatics. Computational Scientist, Research Fellow. gender:Female. age:34. work:No.","['bioinformatics', 'genomics', 'no', 'work']",4,6,0.0
Female,36,Mathematics,Asian,"Data Visualization, Storytelling","Business Intelligence Analyst, Analytics Consultant",Yes,yes,I think my background in mathematics and interest in data visualization align well with the analytics focus of the MS program.,No,"Mathematics. Data Visualization, Storytelling. Business Intelligence Analyst, Analytics Consultant. gender:Female. age:36. work:Yes.","['analytics', 'data', 'mathematics', 'visualization']",4,10,0.0
Male,31,Civil Engineering,Black,"Energy Systems, Sustainability","Energy Analyst, Reliability Engineer",Yes,yes,I think my engineering background and interest in sustainability align well with the analytics focus of MS at SLU.,No,"Civil Engineering. Energy Systems, Sustainability. Energy Analyst, Reliability Engineer. gender:Male. age:31. work:Yes.","['engineering', 'sustainability']",2,7,0.0
Female,32,Geology,Pacific Islander,"Neuroscience, Cognitive Modeling","Computational Scientist, Research Fellow",No,no,"Although the MS in Analytics is appealing for its project-based learning and online flexibility, my background in geology does not align closely enough with analytics to feel confident or passionate about pursuing it.",No,"Geology. Neuroscience, Cognitive Modeling. Computational Scientist, Research Fellow. gender:Female. age:32. work:No.",['geology'],1,10,0.2375
Female,28,Business Administration,Asian,"Pricing, Revenue Management","Financial Analyst, Risk Analyst",Yes,yes,"I think the MS in Analytics at Saint Louis University aligns well with my professional interests and previous work experience, offering skills that are directly applicable to financial roles.",No,"Business Administration. Pricing, Revenue Management. Financial Analyst, Risk Analyst. gender:Female. age:28. work:Yes.","['financial', 'work']",2,12,0.008333333333333338
Female,39,Accounting,Hispanic,"Corporate Finance, Risk Management","Operations Analyst, Supply Chain Planner",Yes,yes,"It feels right for me as the MS in Analytics aligns well with my interest in Risk Management and Operations, offering a flexible study mode.",No,"Accounting. Corporate Finance, Risk Management. Operations Analyst, Supply Chain Planner. gender:Female. age:39. work:Yes.","['management', 'operations', 'risk']",3,11,0.2857142857142857
Female,32,Data Science,Native American,"Machine Learning, AI Ethics","Data Engineer, ETL Developer",Yes,yes,"I think the MS in Analytics at Saint Louis University aligns well with my professional interests and academic background, offering a perfect blend of data science projects.",No,"Data Science. Machine Learning, AI Ethics. Data Engineer, ETL Developer. gender:Female. age:32. work:Yes.","['data', 'science']",2,14,0.3666666666666667
Male,37,Electrical Engineering,Native American,"Robotics Perception, Control","Robotics Engineer, Perception Engineer",Yes,no,"While my professional interests align well with the MS in Analytics, focusing on Robotics Perception and Control which is part of this program's curriculum. However, considering that I am already a seasoned engineer working directly within robotics fields, applying to an analytics-focused graduate program might not leverage my current skill set as effectively.",No,"Electrical Engineering. Robotics Perception, Control. Robotics Engineer, Perception Engineer. gender:Male. age:37. work:Yes.","['control', 'engineer', 'perception', 'robotics']",4,12,0.20999999999999996
Male,23,Mathematics,White,"Causal Inference, Experimentation","Product Analyst, Experimentation Specialist",No,yes,It feels right for my career in analytics and fits well within the flexible online format.,No,"Mathematics. Causal Inference, Experimentation. Product Analyst, Experimentation Specialist. gender:Male. age:23. work:No.",[],0,6,0.2857142857142857
Non-binary,25,Geography,Native American,"Quantum Computing, Simulation","Healthcare Data Analyst, Epidemiology Fellow",No,yes,"I believe the MS in Analytics at SLU, focusing on project management and collaboration skills which aligns well with my professional interests.",No,"Geography. Quantum Computing, Simulation. Healthcare Data Analyst, Epidemiology Fellow. gender:Non-binary. age:25. work:No.",[],0,10,0.1
Male,36,Electrical Engineering,Hispanic,"Optimization, Operations Research","Operations Research Analyst, Optimization Engineer",Yes,yes,It feels right for me as my professional interests align and the online format accommodates my work experience.,No,"Electrical Engineering. Optimization, Operations Research. Operations Research Analyst, Optimization Engineer. gender:Male. age:36. work:Yes.",['work'],1,3,0.19285714285714284
Female,20,Robotics,Black,"Optimization, Operations Research","Robotics Engineer, Perception Engineer",Yes,yes,It feels right for me since my interests align and I have relevant work experience.,No,"Robotics. Optimization, Operations Research. Robotics Engineer, Perception Engineer. gender:Female. age:20. work:Yes.",['work'],1,1,0.34285714285714286
Female,25,Communications,Middle Eastern,"Urban Policy, Transportation","Media Analyst, Audience Insights Researcher",No,no,"While the MS in Analytics is appealing for its project-based learning and online flexibility, my background in Communications aligns less directly with analytics.",No,"Communications. Urban Policy, Transportation. Media Analyst, Audience Insights Researcher. gender:Female. age:25. work:No.",['communications'],1,9,0.14444444444444446
Non-binary,38,Urban Planning,Mixed,"Optimization, Operations Research","Operations Research Analyst, Optimization Engineer",No,yes,"I think the MS in Analytics at Saint Louis University aligns well with my academic interests and professional aspirations, especially as it offers a flexible online format.",No,"Urban Planning. Optimization, Operations Research. Operations Research Analyst, Optimization Engineer. gender:Non-binary. age:38. work:No.",[],0,13,0.10000000000000002
Non-binary,38,Architecture,Native American,"Content Strategy, Editorial Analytics","UX Researcher, UX Designer",Yes,yes,I think the MS in Analytics at Saint Louis University aligns well with my professional interests and offers a flexible learning environment that accommodates my work experience.,No,"Architecture. Content Strategy, Editorial Analytics. UX Researcher, UX Designer. gender:Non-binary. age:38. work:Yes.","['analytics', 'work']",2,12,0.1
Female,23,Criminology,Middle Eastern,"IoT Analytics, Edge AI","Robotics Engineer, Perception Engineer",No,yes,It feels right for me as my interests align well.,No,"Criminology. IoT Analytics, Edge AI. Robotics Engineer, Perception Engineer. gender:Female. age:23. work:No.",[],0,0,0.2857142857142857
Non-binary,39,Data Science,Asian,"NLP, Information Retrieval","Data Analyst, Data Scientist",No,yes,It feels right as the MS in Analytics aligns well with my professional interests and provides a flexible learning format.,No,"Data Science. NLP, Information Retrieval. Data Analyst, Data Scientist. gender:Non-binary. age:39. work:No.",[],0,8,0.19285714285714284
